**********
id, artist_name
725043, 陶妍霖
190205, 金小鱼
1153007, 若菲飞
1145052, 王般若
1116325,  于博雅 
189048, 腾云驾雾琉璃仙
1135002,  孙奇
789523, 天籁天
221005, 陈韵如
961091,  Hedwig & The Angry Inch 
1143031, MST-Dreamer
804112, 孙大肆
790095, 清清
790127, 吕雪
232769, 蓉蓉
220619, 乔沐楠
1183087, 凡以三
794064, 黄浩琳
1184069, 扬
790110, 辜櫻樱
1195003, 古再丽
790096, 矫妮妮
790070, 徐艺莹
189446, 浅伊
1195024, 叫我-薄荷叶儿
1032341,  谢玉虹 
1039080,  smi.
790105, 俞文靖
220635, 君夜潼
1158219, 胡枝子
1184060, 森朵GIMA
956008,  小曾 
1159038, 柴小C
188341, 伊子木木
790043, 邵水云
222670, 琪琪
1087166,  孙菲繁 
1160047, 大贝贝
1140030, 魑魅九儿
1122023,  徐莹
1184082, 任帅
1155116,  吴凤花 
826060, Rockin Rose
189887, 罗丹
1145056, 1747
1044157, 8NIUCHA
1194036, vvseven
1185069, 陈央
1196018, 斯也
1097014,  Sammi Cheng
1184084, Velvet 207
188069, 苏亦晴
1161018,  袁雪儿
955270,  范舟 
1081508, 杨爱瑾
1047259, 王馨
1196028, Suyi
220643, 张娟
222408, 吴兰馨紫
790038, 邓天晴
790049, 松井优美
790065, 姚丽娟
1184073, 雪回
1183015, Lio
12373845, Sandy
12373243, 栗粟音核
12373517, 荼翡
12372575, 雀斑子酱酱
12373501, 央青卓玛
12372371, 裂晓
12373365, 卿罗
12371851, 非欢
12373281, 喵☆酱
12371731, 马一伦
12373265, LiuYa
12371211, 霸王别个姬吧
12373153, 金渔ing
12362583, Fermina Water
12373093, 闫妙可
12362563, 张露文
12373081, 凤妍
12362547, 舒亦晨
12373057, 芋皮
12362307, 锦大树与美婆
-----------------------------------------------
711683, 好妹妹乐队
11127, Beyond
12707, 苏打绿
13193, 五月天
12977, 逃跑计划
11679, GALA
12437, 牛奶咖啡
11562, F.I.R.
827728, TFBOYS
12438, 南拳妈妈
11370, 丢火车
12971, 痛仰乐队
12985, Twins
12081, 筷子兄弟
11830, 海龟先生
947021, 有声小说
189873, 南征北战
13283, 信乐团
11564, 凤凰传奇
12111, 旅行团
11097, By2
13223, 万能青年旅店
13418, 羽·泉
11358, 大乔小乔
12712, 水木年华
11265, 草蜢
751129, 网易游戏
12264, my little airport
2092, 布衣乐队
13279, 小娟&山谷里的居民
12639, 霹雳英雄
1040065, 萌萌哒天团
226672, 风潮唱片
1196009, 天府事变CDREV
900084, 不可撤销
13282, 新裤子
11759, 黑豹乐队
12054, 卡奇社
12709, S.H.E
12261, 棉花糖
11558, 反光镜
1033013, 嘻游记
11514, 二手玫瑰
11761, 花儿
12181, 龙井说唱
13421, 腰乐队
794014, SNH48
13584, 至上励合
11359, 达达
173002, 张玮玮和郭龙
13580, 纵贯线
11762, 黑撒
13598, 中央人民广播电台少年广播合唱团
11363, 动力火车
858267, 谣乐队
11001, at17
12269, 墨明棋妙
11776, 黑鸭子
11742, 隔壁团乐队
691012, EXO-M
13200, 顽童MJ116
1006074, 夏天播放
12266, Mr.
12442, 脑浊乐队
12115, 零点
13581, 子曰
12263, 秘密後院
11365, 低苦艾
9263, Robynn & Kendy
11890, Hush!
1019047, 武聆音雄
12604, 青鸟飞鱼
11371, 达明一派
1049310, 安图声乐队 
12651, 七朵
11767, 杭盖
11096, BOBO
11560, F4
13593, 中国人民解放军军乐团
12436, 扭曲机器
13579, 自然卷
13286, 小虎队
1057114, poppin 国王
11015, 阿里郎
11952, JS
12439, 农夫
13416, 野孩子
13540, 月之门
1050282, 房东的猫
11760, 后海大鲨鱼
13321, 小紫荆儿童合唱团
10998, 爱乐团
12840, Six City
13587, 指南针
1032426, 打扰一下乐团
12537, 飘乐队
13638, 中国国家交响乐团
12444, 男才女貌
12721, Soler
12877, 丝绒公路
-----------------------------------------------
1196009, 天府事变CDREV
11096, BOBO
12972, 唐朝
13333, 新街口
11650, 佛跳墙
13247, 文雀
713080,  TimeZ
13738, 183Club
679001, 安与骑兵
13730, 5566
13727, 4 In Love
11764, 黑Girl
13723, 929
13736, 1983
12619, 7朵花
1185021, 老板娘与酒客
1159088, Silver_Nitrate
796003, 花漾年华
13734, 2R
1196004, 刘柏谣&香蕉鱼乐队
1185082, 洪乐团
13676, 099X
1025289, 1931
11813, 核聚变-G
13729, 48V
905062,  微胖女神 
13752, 19
13735, 2moro
13739, 21 Grams
1185065, Anzar
13733, 2女
1185059, 云也乐队
1183050, Kamil-Seypidin
13768, 4ROM
11779, 红蚂蚁
1184055, 不洁大人
1160211, 风流先森
13728, 33岛乐队
13749, 4PM
1159026, 新疆Bloody说唱
1080124, 表情银行（前16mins）
1160196, 新秩序乐队
1143053, ND
952074, 9cm音乐
1140014, BOB_G
13700, 0411乐队
13740, 641
167007, 0086男团
12126, 2个女生
13681, 021crew
13737, 22 cats
12310, MORSA
13765, 1+3组合
188773, 4026
1185005, 八点四十八
1159194, 彼与是诗队
1194017, 十四行诗
11554, 21乐队
13744, 206和思想者
1063050, 袁霖 Lin.Y-15
13753, 78BPM
1184024, Timtas
13755, 37.5
1152010, 绿巴士乐队
1194048, 新疆SPEAKER说唱
1143069, The Freedom
1158160, Flanger弗兰格乐队
900114, !SSY
1153001, 咸空气乐队
13748, 3T
1145042, 黑屋乐队
1160085, Fine乐团
1160013, 鲲乐队
1160046, Shuffle
187797, 波波冬冬
1192181,  楚世及指挥北京爱乐民乐团
13741, 5秒小子
1160159, 小闪电－张哲
1160155, 蜉蝣目美丽昆虫
220695, 蝴蝶大人
1184037, Harmonika
1183002, 红香蕉乐队
1046408, 36段回旋踢
1039054, 4KeyKid
1159071, 刘毅
1159082, mskwang
1159192, idgas
1195038, 柠檬头乐队
1025222, 27度乐队
1158179, Electric Lady
1159059, 玩具兵团乐队
1159156, 唯利玉碎计划
1057017,  猫哆哩乐队
13750, 3P
13767, 23minutes into the dream
13742, 7
1153011, 叶峻宏
1158063, CARSEN
1023218, 5 MinS
1158039, 伤感胡兵
-----------------------------------------------
178059, Bruno Mars
35531, Justin Bieber
1045123, Alan Walker
32665, Eminem
964486, Tobu
33184, Ed Sheeran
90331, Charlie Puth
46006, Wiz Khalifa
45236, Avicii
